#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
abuse_stopper_timer;Abuse Stopper Timer;Abuser du modificateur d’arrest;Missbrauchstopper Timer;;Abuse Stopper Timer;;;;;;;;;x
bastard_legit_request_timer;Can't Request Legitimization;Ne peult point demander la légitimation.;Kann keine Legitimisierung beantragen;;Can't Request Legitimization;;;;;;;;;x
charity_timer;Recently gave money to charity;A récemment donné l'argent aulx pauvres;Spendete kürzlich Geld;;Recently gave money to charity;;;;;;;;;x
convert_province_timer;Recently converted a province;A récemment converti une province;Konvertierte kürzlich eine Provinz;;Recently converted a province;;;;;;;;;x
county_conquest_timer;Recent County Conquest;Conqueste récente;Eroberte kürzlich eine Grafschaft;;Recent County Conquest;;;;;;;;;x
crusade_timer;Crusade Timer;Croisade récente;Kreuzzug Timer;;Crusade Timer;;;;;;;;;
crusade_timer_desc;A crusade has recently been called and another cannot be called until this timer wears out.;Une croisade a récemment été lancée et une aultre ne peult point estre appelée avant que ce modificateur ne se dissipe.;Es wurde erst kürzlich ein Kreuzzug ausgerufen und ein weiterer kann erst ausgerufen werden wenn dieser Timer abgelaufen ist;;A crusade has recently been called and another cannot be called until this timer wears out.;;;;;;;;;
crusade_block_timer;Crusade Block Timer;;Kreuzzug Block Timer;;;;;;;;;;;x
crusade_block_timer_desc;A crusade has recently been called and another cannot be called until this timer wears out.;;Ein Kreuzzug wurde erst kürzlich ausgerufen und kann nicht erneut ausgerufen werden bis dieser Timer abläuft;;;;;;;;;;;x
desc_county_conquest_timer;This character has recently started a County Conquest and cannot begin another until this modifier expires.;Ce personnage a récemment lancé une conqueste de comté et ne peult point en lancer d'aultre avant que ce modificateur ne se dissipe.;Dieser Charakter hat kürzlich eine Grafschaftseroberung gestartet und kann keinen weiteren beginnen, bis dieser Modifikator abläuft.;;This character has recently started a County Conquest and cannot begin another until this modifier expires.;;;;;;;;;x
desc_holy_war_timer;This character has recently started a Holy War, and further Holy Wars will cost more Piety unless they are sanctioned by the religion head.;This character has recently started a Holy War, and further Holy Wars will cost more Piety unless they are sanctioned by the religion head.;Dieser Charakter hat kürzlich einen Heiligen Krieg begonnen und jeder weitere Heilige Krieg kostet mehr Pietät sofern dieser nicht vom Religionsoberhaupt genehmigt wird.;;This character has recently started a Holy War, and further Holy Wars will cost more Piety unless they are sanctioned by the religion head.;;;;;;;;;x
employment_timer;Recently employed a character;A récemment employé un personnage;Kürzlich jemand angeworben;;Recently employed a character;;;;;;;;;x
