#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
;;;;;;;;;;
###Sacred Symbols
sacred_the_giants_causeway;The Giants Causeway;;Der Riesendamm;;;;;;;;;;;x
sacred_the_giants_causeway_desc;Ancient meeting place of the giant Fomorians, this place has kept a great importance for the sons of Mil.;;Antiker Treffpunkt der Riesen Fomorians. Dieser Ort hat eine Große Wichtigkeit für die Söhne Mil's.;;;;;;;;;;;x
sacred_lia_fail;The Lia Fàil;;Der Stein von Fal;;;;;;;;;;;x
sacred_lia_fail_desc;Sacred stone of Kings sitting on top of the hill of Tara, at the touch of the rightful king of Ireland, it screams his name three times.;;Heiliger Stein der Könige befindlich an der Spitze des Hügels von Tara. Bei der Berührung vom rechtmäßigen König von Irland schreit der Stein dreimal seinen Namen.;;;;;;;;;;;x
sacred_carnac;The Stones of Carnac;;Der Stein von Carnac;;;;;;;;;;;x
sacred_carnac_desc;Whether the remnants of a Roman army turned to stone by Merlin or ancient temple grounds of their primeval ancestors, the stones of Carnac are considered a sacred destination by many Celts.;;Ob die Überreste eine römischen Armee durch Merlin zu Stein verwandelt wurden oder ein antiker Tempelboden ihrer Ur-Vorfahren, die Steine von Carnac werden als heiliges Ziel von vielen Kelten betrachtet.;;;;;;;;;;;x
sacred_stonehenge;Stonehenge;;Stonehenge;;;;;;;;;;;x
sacred_stonehenge_desc;An important pilgrimage site, this stone circle, standing from times immemorial, is often used by the Druids for their sacred ceremonies.;;Eine wichtige Pilgerstätte, dieser Steinkreis steht seit Menschengedenken, wurde oft von den Druiden für ihre heiligen Zeremonien genutzt;;;;;;;;;;;x
sacred_hill_of_uisneach;The Hill of Uisneach;;Der Hügel von Uisneach;;;;;;;;;;;x
sacred_hill_of_uisneach_desc;Known as the sacred centre of Ireland, this hill is also the chosen site for the annual celebration of Beltaine.;;Bekannt als das heilige Zentrum Irlands, ist dieser Hügel auch der ausgewählte Ort für die jährliche Feier von Beltaine;;;;;;;;;;;x
sacred_ring_of_brodgar;The Ring of Brodgar;;Der Ring von Brodgar;;;;;;;;;;;x
sacred_ring_of_brodgar_desc;Most important stone circle in in northern Scotland, the Druids have made this a sacred temple to the Gods;;Der wichtigste Steinkreis im norden Schottlands haben die Druiden dies zu einem heiligen Tempel für die Götter gemacht;;;;;;;;;;;x
sacred_bear;Sacred Bears;;Heiliger Bär;;;;;;;;;;;x
sacred_bear_desc;The Bear is highly sacred in this region, thought to be the earthly avatar of many powerful gods and goddesses.;;Der Bär ist höchst heilig in dieser Region, geglaubt als der weltliche Körper von vielen mächtigen Göttern.;;;;;;;;;;;x
sacred_horse;Sacred Horses;;Heiliges Pferd;;;;;;;;;;;x
sacred_horse_desc;Protected by Macha, the white horses are a sign of the favour she has for this region.;;Beschützt durch Macha ist das weiße Pferd ein Zeichen ihres Wohlwollen für diese Region.;;;;;;;;;;;x
sacred_yew;Sacred Yew Trees;;Heiliger Eibenbaum;;;;;;;;;;;x
sacred_yew_desc;A symbol of immortality, the mighty yew trees that grow in the sacred groves are a gift from the Gods.;;Ein Symbol für Unsterblichkeit. Die mächtigen Eibenbäume, die in den heiligen Hainen sind ein Geschenk der Götter.;;;;;;;;;;;x
sacred_stag;Sacred Stags;;Heiliger Hirsch;;;;;;;;;;;x
sacred_stag_desc;Companion to the Gods and the many spirits of the land, the stags and deer of this area are particularly healthy.;;Begleiter der Götter und vieler Geister des Landes. Die Hirsche und Rehe dieses Gebietes sind besonders Gesund.;;;;;;;;;;;x
sacred_dog;Sacred Dogs;;Heiliger Hund;;;;;;;;;;;x
sacred_dog_desc;Dogs were seen to be keen-scented, good at hunting, guarding and healing themselves, their abundance in this region is clearly a gift.;;Hunde wurden gesichtet mit einem scharfen Geruchssinn, guten Jagdkünsten, Beschützerinstinkten und Selbstheilkräften. Ihre Fülle in dieser Region ist wahrhaft ein Geschenk;;;;;;;;;;;x
sacred_oak;Sacred Oaks;;Heilige Eiche;;;;;;;;;;;x
sacred_oak_desc;The great Oaks and the sacred mistletoe that they bear are of utmost importance to the Celts.;;Die großen Eichen und die heiligen Mistelzweige, die sie tragen, sind von allerhöchster Wichtigkeit für die Kelten;;;;;;;;;;;x
sacred_standing_stones;Standing Stones;;Standing Stones;;;;;;;;;;;x
