#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
emf_ctt_nwo_customize;Prompt with an explanation of New World Order.\nYou may choose to cancel or otherwise supply further options.\n;;Anzeige mit einer Erklärung der neuen Weltordnung.\nDu kannst wählen dies abzubrechen oder weitere Optionen zu liefern.;;;;;;;;;;;x
emf_customize_nwo;New World Order;;Neue Weltordnung;;;;;;;;;;;x
emf_customize_nwo_desc;This scenario customization decision allows you to completely facelift the map in myriad ways: independent counts, de jure dukes, or de jure kings. You can apply the decision to only certain parts of the world, randomize rulers or retain previous rulers where they existed, etc. It can be invoked multiple times with different selections for more complex results.;;Diese Szenario-Anpassungs-Entscheidung erlaubt dir die Karte komplett umzugestalten in unzähligen Arten: Unabhängige Grafen, De-Jure Herzöge oder De-Jure Könige. Du kannst die Entscheidungen nur auf bestimmte Teile der Welt übernehmen, auf zufällige Herrscher oder ehemalige Herrscher beibehalten wo sie existierten, etc. Es kann mehrmals ausgeführt werden mit unterschiedlichen Auswahlen für komplexere Resultate.;;;;;;;;;;;x
#### EVENTS;;;;;;;;;;;;;;x
emf_nwo.1.title;New World Order;;Neue Weltordnung;;;;;;;;;;;x;;;;;;;
emf_nwo.1.desc;With this scenario customization, you can change the face of the map in myriad ways, from dismantling the Christian empires and adding lots of new kingdoms with which to politick to shattering the world into independent counts and using rapid conquest CBs to etch your own new world order (and more).\n\nFirst, select independent counts, de jure dukes, or de jure kings mode. Among a variety of mostly self-explanatory options, you'll be asked whether to apply the new world order to the whole map, only Catholics, only Christians, or only Muslims.\nNote that you can take this customization decision again with different selections to get more complex results.;;Mit dieser Szenario-Anpassung kannst du die Karte auf unzählige Arten umgestalten, von der Zerlegung der Christlichen Imperien und Hinzufügung von vielen neuen Königreichen mit denen diplomatisch die Welt in unabhängige Grafen zerschmettert werden und nutze rasante Eroberungs Kriegsgründe um deine eigene Neue Weltordnung auszulöschen (and more).\nZuerst, wähle Unabhängige Grafen, De-Jure Herzöge oder De-Jure Könige Modus. Unter einer Vielzahl von meist selbsterklärenden Optionen wirst du gefragt, ob du die Neue Weltordnung auf die ganze Karte, nur Katholiken, nur Christen oder nur Muslimen angewendet werden soll.\n\nBeachte dass du diese Anpassungsentscheidungen erneut mit einer unterschiedlichen Auswahl treffen kannst um komplexere Resultate zu erzielen.;;;;;;;;;;;x
emf_nwo.1.opt.a;Independent Counts;;Unabhängige Grafen;;;;;;;;;;;x
emf_nwo.1.opt.b;De Jure Dukes;;De-Jure Herzöge;;;;;;;;;;;x
emf_nwo.1.opt.c;De Jure Kings;;De-Jure Könige;;;;;;;;;;;x
emf_nwo.3.desc;To which groups should the New World Order apply?\n\nNote that you can take this customization decision again afterward to affect different groups in complex ways.;;Auf welche Gruppe soll die Neue Weltordnung angewendet werden?\n\nBeachte dass du diese Anpassungsentscheidungen erneut wählen kannst um die unterschiedlichen Gruppen auf komplexe Weise beeinflussen kannst.;;;;;;;;;;;x
emf_nwo.3.opt.a;Everyone;;Jeden;;;;;;;;;;;x
emf_nwo.3.opt.b;Only Catholics;;Nur Katholiken;;;;;;;;;;;x
emf_nwo.3.opt.c;Only Orthodox;;Nur Orthodoxe;;;;;;;;;;;x
emf_nwo.3.opt.d;Only Christians;;Nur Christen;;;;;;;;;;;x
emf_nwo.3.opt.e;Only Muslims;;Nur Muslime;;;;;;;;;;;x
emf_nwo.5.desc;Would you like to spare the Pope's lands?;;Möchtest du die Länder des Papstes verschonen?;;;;;;;;;;;x
emf_nwo.5.opt.a;Yes, spare all of the Papacy;;Ja, verschone das Papstum;;;;;;;;;;;x
emf_nwo.5.opt.b;Yes, but only let the Pope have Rome;;Ja, aber lasse den Papst nur Rom haben;;;;;;;;;;;x
emf_nwo.5.opt.c;No, the Pope can fend for himself;;Nein, der Papst kann sich selbst wehren;;;;;;;;;;;x
emf_nwo.7.desc;Would you like to spare merchant republics?;;Möchtest du Handelsrepubliken verschonen?;;;;;;;;;;;x
emf_nwo.9.desc.duke;For those rulers which already hold de jure duchies, should they remain the dukes of their capital duchies? Note that this only affects already-existing duchies.;;Für die Herrscher, die bereits De-Jure Herzogtümer halten, sollen sie die Herzöge ihres Hauptherzogtumes bleiben? Beachte dass dies nur bereits existierende Herzogtümer betrifft.;;;;;;;;;;;x
